iter	RMSE
0	0.3819324385
1	0.3744451878
2	0.366750146
3	0.3602164683
4	0.3532034425
5	0.3468417402
6	0.3409726078
7	0.3357892492
8	0.3297584982
9	0.3238432902
10	0.317984679
11	0.3123635415
12	0.3074414364
13	0.3016635096
14	0.2963532875
15	0.2915932968
16	0.2870635481
17	0.2823123692
18	0.2777691834
19	0.2734999307
20	0.2695197713
21	0.2653161476
22	0.2618111168
23	0.2576459267
24	0.2540704471
25	0.2502779754
26	0.2461682489
27	0.2428025337
28	0.2397048746
29	0.236683387
30	0.2333450901
31	0.2307393671
32	0.2272216033
33	0.2241081914
34	0.2211408803
35	0.2182307811
36	0.2151000038
37	0.2126993799
38	0.2098133858
39	0.2069670267
40	0.2047470748
41	0.2024471282
42	0.2001067742
43	0.1980776347
44	0.1959724091
45	0.1936669271
46	0.1921787063
47	0.1902388889
48	0.1884604524
49	0.1865296368
50	0.1842489075
51	0.1825242093
52	0.1807453763
53	0.1786706627
54	0.1769570301
55	0.1759073764
56	0.1743114106
57	0.1728054771
58	0.171499341
59	0.1698020302
60	0.1684491223
61	0.1672144105
62	0.1658991307
63	0.1646050096
64	0.1634643697
65	0.1623523426
66	0.1609184511
67	0.1600505258
68	0.1590083141
69	0.1581780513
70	0.1571945169
71	0.1564453844
72	0.1551213783
73	0.1542124334
74	0.153008372
75	0.1521965635
76	0.1514533296
77	0.1506817913
78	0.149742207
79	0.1488827771
80	0.1480086869
81	0.1473046548
82	0.146446224
83	0.145531931
84	0.144765298
85	0.1440466024
86	0.1433178447
87	0.1428706286
88	0.1421415868
89	0.1413267584
90	0.1406376243
91	0.1401449664
92	0.139542899
93	0.1390683951
94	0.1385476809
95	0.1380359405
96	0.1376324755
97	0.1372812505
98	0.1367420368
99	0.1364181226
100	0.135807193
101	0.135477335
102	0.1352457373
103	0.1347692928
104	0.1342037069
105	0.133516485
106	0.1330322065
107	0.1324951962
108	0.1320268061
109	0.1317035335
110	0.1310758765
111	0.1306788684
112	0.1302793228
113	0.1297287517
114	0.1294108173
115	0.1289246845
116	0.1284349066
117	0.1281025594
118	0.1277127173
119	0.1272370457
120	0.1269696202
121	0.1266189984
122	0.1262488189
123	0.1253911418
124	0.12492815
125	0.1246580603
126	0.1242673047
127	0.1238347762
128	0.123526168
129	0.1230552547
130	0.1225454323
131	0.1221548812
132	0.121682715
133	0.1214136954
134	0.120992191
135	0.1207595746
136	0.1203618983
137	0.1199881483
138	0.1197669306
139	0.1196545537
140	0.1193548126
141	0.1188886154
142	0.1184414206
143	0.1182469543
144	0.1180362879
145	0.1176610497
146	0.1171887978
147	0.1170550626
148	0.116628666
149	0.1162974852
150	0.1160809641
151	0.1157296293
152	0.1154691575
153	0.115210676
154	0.114803385
155	0.1143509385
156	0.1140719631
157	0.1138983406
158	0.113595727
159	0.1130759551
160	0.1128562908
161	0.1125814622
162	0.1122065635
163	0.1118392617
164	0.111755983
165	0.1114170152
166	0.1110937367
167	0.1107804039
168	0.1105432543
169	0.110351323
170	0.1100833085
171	0.109886173
172	0.1095911384
173	0.1093440285
174	0.1090616983
175	0.1087819672
176	0.1084581213
177	0.1082669087
178	0.1080994552
179	0.107807981
180	0.1076376116
181	0.1074180639
182	0.1070992049
183	0.1069137159
184	0.1066838752
185	0.106491216
186	0.1062549806
187	0.106036092
188	0.1057990222
189	0.1054848224
190	0.1051614692
191	0.1049217816
192	0.104593855
193	0.1043031799
194	0.1041979377
195	0.1039179934
196	0.1034759575
197	0.1032502457
198	0.1028974625
199	0.1026405725
200	0.1022895668
201	0.1020328747
202	0.1016237404
203	0.10135228
204	0.1011303841
205	0.1009246134
206	0.1006653877
207	0.1003570718
208	0.1001362613
209	0.09991867265
210	0.0996827317
211	0.09938225052
212	0.09905405969
213	0.09878935405
214	0.09858591225
215	0.09831351218
216	0.09808082763
217	0.09787183974
218	0.09763147283
219	0.09729888291
220	0.09710530298
221	0.09683849737
222	0.0967630836
223	0.09654373624
224	0.09622872075
225	0.0960638647
226	0.09588496937
227	0.09579229795
228	0.09559174276
229	0.09534325144
230	0.09523181797
231	0.09506720138
232	0.09491299619
233	0.09469096684
234	0.09442823893
235	0.09434221069
236	0.09415484566
237	0.09394528672
238	0.09392981168
239	0.09368961674
240	0.09349701152
241	0.09320892181
242	0.09295592734
243	0.0929435617
244	0.09260853938
245	0.09250649424
246	0.09241231382
247	0.09227929443
248	0.09205447522
249	0.09200130573
250	0.09187152296
251	0.09163452269
252	0.09139275306
253	0.09123777467
254	0.09111554417
255	0.09106508274
256	0.09105670054
257	0.09100567772
258	0.09080326882
259	0.09067101152
260	0.09046569466
261	0.09040197718
262	0.09039268429
263	0.09032271365
264	0.09019598529
265	0.09000827478
266	0.08976075302
267	0.08958135305
268	0.08937327851
269	0.08917208218
270	0.08904285704
271	0.088738041
272	0.0887286105
273	0.08860024524
274	0.08843681992
275	0.08829617413
276	0.08821271004
277	0.08804964525
278	0.08804232013
279	0.08791090618
280	0.0877025458
281	0.08769383907
282	0.08768472295
283	0.08767626907
284	0.08744391399
285	0.08723532769
286	0.08699350129
287	0.0868284792
288	0.08682057269
289	0.08664322573
290	0.08648275166
291	0.0863258277
292	0.08622535128
293	0.08596583242
294	0.08579516433
295	0.08556471255
296	0.08555655216
297	0.08537293735
298	0.085230572
299	0.08497535384
300	0.08475986846
301	0.08451324527
302	0.08435245586
303	0.08433161259
304	0.08414100584
305	0.08408865093
306	0.08406864486
307	0.08383799813
308	0.08353828036
309	0.08340160217
310	0.08319913981
311	0.08316014789
312	0.08295413658
313	0.08278299786
314	0.08263090738
315	0.08233038168
316	0.08210733565
317	0.08200374954
318	0.08186446767
319	0.0818558938
320	0.08165607044
321	0.08164949114
322	0.08146163147
323	0.08122641093
324	0.08095828177
325	0.08088515811
326	0.08085737475
327	0.08081755956
328	0.08068642188
329	0.08049552711
330	0.08036797321
331	0.08020819839
332	0.0801625323
333	0.08001269261
334	0.07982822486
335	0.07982167534
336	0.07981577985
337	0.07964884557
338	0.079547544
339	0.07950990036
340	0.07949174035
341	0.07923389057
342	0.07906248096
343	0.07877715914
344	0.07862787795
345	0.07862190263
346	0.07847058811
347	0.07837263922
348	0.07825673173
349	0.07825019404
350	0.07807253742
351	0.07778827107
352	0.07745574915
353	0.07722470783
354	0.07718755075
355	0.07702169106
356	0.07692290083
357	0.07672892286
358	0.07647335441
359	0.07635339071
360	0.07624654549
361	0.07602263189
362	0.07591294527
363	0.07579577371
364	0.07557289223
365	0.07543807028
366	0.07512700489
367	0.07510087515
368	0.07499966259
369	0.07478175008
370	0.07459485591
371	0.07457490346
372	0.07438726125
373	0.07438179802
374	0.07437644301
375	0.07419125188
376	0.07401787333
377	0.07386488634
378	0.07377113985
379	0.07357598809
380	0.07345271853
381	0.07322111263
382	0.07320241299
383	0.07311321261
384	0.0729238995
385	0.07276213601
386	0.07257027503
387	0.07243319801
388	0.07230493589
389	0.07216135372
390	0.0720271321
391	0.07192773293
392	0.07179477351
393	0.07166042285
394	0.07146458057
395	0.07145911844
396	0.07142562555
397	0.07126092361
398	0.07125616299
399	0.07119298511
400	0.07102473742
401	0.07081176201
402	0.07065215546
403	0.07055019684
404	0.07052879815
405	0.07040244019
406	0.07033696677
407	0.07019489982
408	0.0699436996
409	0.06982009408
410	0.06973462598
411	0.06960078607
412	0.06949166971
413	0.06937665691
414	0.06924046987
415	0.06910370544
416	0.06888851369
417	0.06871466547
418	0.06853607101
419	0.06845442664
420	0.06833333521
421	0.06821844568
422	0.0680517397
423	0.06803169835
424	0.06782905739
425	0.06782524567
426	0.06779659769
427	0.06763722975
428	0.06751414745
429	0.06741287302
430	0.06735424271
431	0.06734968611
432	0.06727087996
433	0.06726680107
434	0.06726285037
435	0.06714308776
436	0.06698101323
437	0.06685785629
438	0.06677189822
439	0.06655983109
440	0.06640051074
441	0.06626732728
442	0.06616073901
443	0.06613655108
444	0.06605383109
445	0.0658732867
446	0.06575551171
447	0.06567481182
448	0.0656181326
449	0.06549129034
450	0.06546804263
451	0.06537155055
452	0.06536712571
453	0.06529384284
454	0.06514462338
455	0.06505769669
456	0.06494264583
457	0.06479792584
458	0.06465913639
459	0.06454316256
460	0.06446291991
461	0.06429880805
462	0.06421021651
463	0.06414003865
464	0.06399307039
465	0.06398966352
466	0.06388986888
467	0.06384195472
468	0.06375807198
469	0.06361202393
470	0.06351487328
471	0.06333401019
472	0.06325085277
473	0.06313987248
474	0.06306753426
475	0.06294678424
476	0.06284645042
477	0.06276524766
478	0.06267897872
479	0.06256143015
480	0.06242425601
481	0.06227069413
482	0.06211807113
483	0.06199630586
484	0.06189450006
485	0.06174742216
486	0.06174477407
487	0.06158049047
488	0.06148974452
489	0.06142363533
490	0.0613502213
491	0.06118221379
492	0.06117768618
493	0.06109937199
494	0.06096427939
495	0.06090378606
496	0.06070734305
497	0.06066580368
498	0.06059924506
499	0.06047786062
500	0.06035147328
501	0.06017484404
502	0.06002124849
503	0.05987902721
504	0.05972043368
505	0.05969416168
506	0.05964351788
507	0.05951152352
508	0.05935743661
509	0.05928871397
510	0.05918466604
511	0.05905902601
512	0.05895593768
513	0.05887925005
514	0.05876789993
515	0.05869850701
516	0.0585083829
517	0.05848597517
518	0.05833702098
519	0.05825428704
520	0.05810274349
521	0.0579981227
522	0.05793734485
523	0.05784566113
524	0.05774021186
525	0.0576161587
526	0.05759719851
527	0.05752783665
528	0.05742577486
529	0.05742233973
530	0.05733370947
531	0.05721839565
532	0.05712609692
533	0.05692093897
534	0.05681551013
535	0.05671534069
536	0.05671204034
537	0.05663871832
538	0.0565937188
539	0.05644250061
540	0.05633149154
541	0.05632632526
542	0.05623051254
543	0.05616771245
544	0.05611865719
545	0.05595047367
546	0.05581143396
547	0.05577958317
548	0.05568197857
549	0.05567663299
550	0.05548633229
551	0.05544242357
552	0.05541944698
553	0.05533132625
554	0.0553203344
555	0.05524662729
556	0.05511590435
557	0.0550311638
558	0.05498987029
559	0.05490509588
560	0.05482662448
561	0.05470743709
562	0.05461447284
563	0.05461168862
564	0.05450336213
565	0.05443336696
566	0.05433519928
567	0.05427835375
568	0.0542009103
569	0.05408135294
570	0.05407792427
571	0.05398361454
572	0.05390320168
573	0.05385991106
574	0.05385735749
575	0.0538326928
576	0.05371673447
577	0.05362489849
578	0.05358914457
579	0.05353042106
580	0.05352793539
581	0.05341247595
582	0.05331287487
583	0.05320561166
584	0.05310679304
585	0.05306651785
586	0.0529803791
587	0.0529453192
588	0.05280422214
589	0.05266781968
590	0.05266488986
591	0.05253876045
592	0.05251990701
593	0.05245725428
594	0.05240667428
595	0.05230587736
596	0.052218672
597	0.05207242646
598	0.0520080406
599	0.05190242679
600	0.05181043579
601	0.0517253314
602	0.05164213635
603	0.05161606872
604	0.05160596149
605	0.05147036384
606	0.05138684546
607	0.05138340507
608	0.05131323066
609	0.05129082076
610	0.05117520044
611	0.05109854578
612	0.05098998944
613	0.05090117824
614	0.05080263829
615	0.05076297414
616	0.05065340771
617	0.05055299786
618	0.05051373374
619	0.0504565152
620	0.05033147293
621	0.05019453174
622	0.05011632078
623	0.05006803681
624	0.04996686653
625	0.04989103364
626	0.04981325259
627	0.04969857825
628	0.04957229439
629	0.04954294026
630	0.04945796435
631	0.04934457821
632	0.0492711448
633	0.04914518861
634	0.04906811612
635	0.04896419139
636	0.04884352388
637	0.04877529276
638	0.04876573572
639	0.04868998961
640	0.04862610228
641	0.04855876302
642	0.04846398144
643	0.04839530989
644	0.04832394666
645	0.04819138747
646	0.04811887959
647	0.04804766524
648	0.04791806936
649	0.04783456233
650	0.0478144282
651	0.04774091858
652	0.04767138351
653	0.04758505395
654	0.04754836677
655	0.04754515729
656	0.04743755642
657	0.04732457552
658	0.04725460096
659	0.0471142859
660	0.04699019668
661	0.04688898534
662	0.0468254317
663	0.04682392608
664	0.0467508227
665	0.04667383324
666	0.04659251544
667	0.04644666093
668	0.0462944799
669	0.04621454992
670	0.04617887811
671	0.04608599791
672	0.04608407382
673	0.04601492396
674	0.04596008859
